id,nama,harga,harga_coret,gambar,stok,kategori,deskripsi,variasi,grosir
1768049933590,Minyak Kita 1L & 2L,19000,20000,https://i.ibb.co.com/Cs5NXJHm/Minyakita-Variasi1-Golden-Oil-Palm-Fruit.webp,24,Paket Hemat,"Minyak Kita 1L
Kemasan Baru","[{""sku"":""MK-1L"",""nama"":""1 Liter"",""harga"":19000,""stok"":24,""harga_coret"":20000,""gambar"":""https://i.ibb.co.com/Cs5NXJHm/Minyakita-Variasi1-Golden-Oil-Palm-Fruit.webp""},{""sku"":""MK-2L"",""nama"":""2 Liter"",""harga"":36000,""stok"":12,""harga_coret"":38000,""gambar"":""https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Minyakita_2Liter.webp?updatedAt=1768551992831""}]",
1768111849401,Gula Pasir Curah 1/4 - 1/5 - 1 kg,5000,,https://i.ibb.co.com/4ngzrBP4/Gula-Splash-Paling-Jualan.webp,100,Bahan Pokok,Gula Pasir Curah - 1 Kg,"[{""sku"":""GULA-1/4"",""nama"":""GULA 1/4 KG"",""harga"":5000,""stok"":10},{""sku"":""GULA-1/5"",""nama"":""GULA 1/5 KG"",""harga"":9000,""stok"":10,""harga_coret"":10000},{""sku"":""GULA-1"",""nama"":""GULA 1 KG"",""harga"":17500,""stok"":10,""harga_coret"":18000}]",
1768369705158,Beras Slyp Super Cap Ketupat,12000,350000,"https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Premium+Rice+Sack+Commercial+Photo.webp?updatedAt=1768398794290,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Dynamic+FMCG+Rice+Sack+Commercial.webp?updatedAt=1768398794283,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Kemasan+Beras+3+Liter+Dinamis.webp?updatedAt=1768398794281",10,Bahan Pokok,"Beras Slyp Super Cap Ketupat
1 KARUNG = 25 KG","[{""sku"":""BRS-1"",""nama"":""BERAS 1 LITER"",""harga"":12000,""stok"":100},{""sku"":""BRS-2"",""nama"":""BERAS 2 LITER"",""harga"":23500,""stok"":100,""harga_coret"":24000},{""sku"":""BRS-5"",""nama"":""BERAS 5 LITER"",""harga"":58000,""stok"":50,""harga_coret"":60000},{""sku"":""BRS-25"",""nama"":""BERAS 1 KARUNG"",""harga"":360000,""stok"":5,""harga_coret"":375000},{""sku"":""BRS-1kg"",""nama"":""BERAS 1 Kg"",""harga"":15000,""stok"":17,""harga_coret"":16000,""gambar"":""https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Kemasan+Beras+3+Liter+Dinamis.webp?updatedAt=1768398794281""}]",[]
1768400548051,Tepung Terigu Curah,5000,6000,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/tepung_terigu_curah.webp,20,Bahan Pokok,"Tepung Terigu Curah
Berat : 1/5 kg - 1 Kg","[{""sku"":""TPNG-1/5"",""nama"":""TEPUNG 1/5 KG"",""harga"":5000,""stok"":24,""harga_coret"":6000},{""sku"":""TPNG-1"",""nama"":""TEPUNG 1 KG"",""harga"":10000,""stok"":25,""harga_coret"":11000}]",
1768398928031,Tepung Terigu Segitiga Biru 1Kg,14000,15000,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Tepung_Segitiga_Biru.webp,15,Bahan Pokok,"Tepung Terigu Segitiga Biru : 1Kg
Segitiga Biru Ekonomis",,
1767357373755,Indomie Goreng Rendang,3500,,https://i.ibb.co.com/qYYfcZn6/2fe4c9107469771-5fa81a797e045.webp,10,Bahan Pokok,Indomie Goreng Rendang,,"[{""min_qty"":20,""price"":3300},{""min_qty"":10,""price"":3400},{""min_qty"":5,""price"":3450}]"
1768098725922,1 Dus Indomie Kari Ayam,129000,,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Versi_Pedas_Berenergi.webp?updatedAt=1768398794305,10,Bahan Pokok,"Indomie Kari Ayam : 1 Dus
Isi : 40 Bungkus",,
1767970979973,Indomie - Hype Abis Ayam Geprek,128000,134000,https://i.ibb.co.com/7dJ97btn/1767970728067.webp,100,Bahan Pokok,"Indomie
Hype Abis Ayam Geprek 1 DUS",,
1767965261516,Kecap Manis Bango,3000,,"https://i.ibb.co.com/1Gmmhhtb/BANGO-Modern-Green-High-Impact-Promo-1.webp,https://i.ibb.co.com/7tJNmSkL/BANGO-High-Impact-Product-Promotion.webp,https://i.ibb.co.com/K3rFZtK/BANGO-Sweet-Soy-Sauce-Promotional-Image.webp",100,Bahan Pokok,Kecap Manis Bango - 70Gram,,
1767436687218,Indomie Goreng Aceh,3500,,https://i.ibb.co.com/pBd9BK4z/0501ed107469771-5fa81a797e8ce.webp,40,Bahan Pokok,"1 Bungkus
Indomie Goreng Aceh",,"[{""min_qty"":20,""price"":3300},{""min_qty"":10,""price"":3400},{""min_qty"":5,""price"":3450}]"
1767775179454,Sarden ABC Tomat,10000,,"https://i.ibb.co.com/pr28MgPH/ABC-Sardines-Digital-Banner-1200x675.webp,https://i.ibb.co.com/LzbQhWkh/ABC-Sardines-Promotional-Studio.webp",100,Bahan Pokok,"Sarden ABC Tomat
Kaleng kecil - 155g",,
1768097561373,Indomie Kari Ayam,3500,,"https://i.ibb.co.com/PzZj6PtZ/FMCG-Noodle-Commercial-Spicy-Energy-Style.webp,https://i.ibb.co.com/PGG86fkh/Dynamic-FMCG-Noodle-Commercial.webp,https://i.ibb.co.com/gMjGStCQ/FMCG-Noodle-Commercial-Premium-Cinematic-Style.webp",50,Bahan Pokok,Indomie Kari Ayam - 1 Bks,,"[{""min_qty"":20,""price"":3300},{""min_qty"":10,""price"":3400},{""min_qty"":5,""price"":3450}]"
1768117371708,Mama Lemon Jeruk Nipis,10000,,"https://i.ibb.co.com/7JbrQ85P/AIsw-MUZEJw-Hc-Rs0q.webp,https://i.ibb.co.com/jkmXGzVf/i-MZADJV6-O8-FFV7d-J-1.webp",100,Bahan Pokok,"Mama Lemon Jeruk Nipis
Netto 690 Gram",,
1768222256781,Kopi Kapal Api Bubuk,7500,35000,"https://i.ibb.co.com/2QvCH0y/Ew-Jv-Ro-Du-E7h-C1-NSF.webp,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Kapal_Api_Special_Coffee_Premium.webp",15,Bahan Pokok,Kapal Api Bubuk 350 Gram,"[{""sku"":""KOPI-60"",""nama"":""KOPI 60g"",""harga"":7500,""stok"":25,""harga_coret"":8000,""gambar"":""https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Kapal_Api_Special_Coffee_Premium.webp""},{""sku"":""KOPI-350"",""nama"":""KOPI 350g"",""harga"":34000,""stok"":15,""harga_coret"":35000,""gambar"":""https://i.ibb.co.com/kg2HdQsY/z-M5sbts-IFn5-Vq-P9-B.webp""}]",
1768880581333,Paket Sembako Ceria,100000,105000,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Kapal_Api_Special_Coffee_Premium.webp?updatedAt=1768549519702,100,,test cta url,,